x y
6263.853 -22585.965
6260.367 -22623.088
6263.1567 -22645.932
6253.382 -22683.652
6233.48 -22729.912
6227.2144 -22763.828
6216.187 -22803.918
6212.3247 -22858.098
6209.7773 -22892.893
6202.472 -22917.967
6200.6416 -22938.412
6188.983 -22986.238
6182.3433 -23017.89
6172.734 -23056.4
6166.2954 -23084.8
6170.7544 -23106.762
6181.3975 -23120.764
6192.9556 -23131.758
6195.217 -23146.436
6203.3813 -23156.975
6229.4346 -23168.404
6253.0225 -23179.283
6271.8096 -23184.404
6287.6484 -23185.697
6301.3975 -23184.71
6318.2227 -23188.506
6325.053 -23185.773
6335.4517 -23193.27
6343.9775 -23190.2
6341.156 -23183.498
6339.764 -23172.232
6344.873 -23170.25
6336.278 -23169.686
6330.648 -23174.92
6322.8057 -23176.494
6312.465 -23186.396
6287.2964 -23203.135
6283.0166 -23205.584
6284.747 -23217.156
6289.825 -23210.164
6280.305 -23192.525
6271.8145 -23181.424
6266.9907 -23176.287
6265.417 -23171.26
6259.612 -23165.477
6255.858 -23161.193
6276.664 -23180.24
6287.884 -23210.543
6298.089 -23223.807
6300.0815 -23206.035
6311.775 -23203.23
6316.5073 -23196.633
6326.6157 -23198.916
6339.593 -23221.014
6348.4854 -23241.537
6354.185 -23254.303
6349.4644 -23233.846
6349.953 -23214.268
6347.9385 -23234.402
6351.765 -23244.238
6350.4917 -23231.105
6348.414 -23213.969
6351.849 -23208.469
6356.9404 -23223.787
6364.7207 -23226.666
6366.941 -23231.596
6370.4683 -23228.355
6357.5347 -23216.607
6355.8027 -23206.953
6356.923 -23201.867
6354.6562 -23195.256
6350.3325 -23188.08
6354.069 -23188.846
6357.055 -23196.328
6356.5864 -23201.248
6353.758 -23207.912
6348.933 -23202.602
6341.3228 -23199.002
6345.0386 -23192.01
6326.449 -23183.145
6310.577 -23179.361
6307.2236 -23182.117
6281.411 -23194.871
6249.7163 -23208.283
6255.7036 -23215.273
6240.602 -23218.389
6258.2207 -23213.566
6255.0103 -23208.08
6261.0283 -23196.934
6278.3086 -23187.48
6277.611 -23175.3
6276.5713 -23166.648
6290.1377 -23166.566
6294.308 -23160.693
6291.0757 -23152.4
6288.185 -23144.023
6285.013 -23139.725
6287.004 -23139.861
6291.05 -23148.748
6286.7256 -23156.855
6281.5635 -23166.352
6273.2827 -23162.547
6272.447 -23180.98
6241.2344 -23218.469
6248.3257 -23227.502
6264.695 -23232.578
6279.961 -23232.578
6271.1284 -23235.098
6274.8906 -23232.678
6286.8735 -23223.91
6285.446 -23213.074
6299.412 -23212.764
6299.9585 -23214.387
6303.094 -23211.629
6311.406 -23207.121
6316.159 -23225.555
6326.277 -23241.049
6349.4487 -23233.201
6370.8496 -23223.826
6387.701 -23206.95
6399.488 -23192.4
6404.0425 -23186.22
6398.2476 -23178.695
6402.0703 -23175.031
6396.0894 -23162.818
6384.692 -23151.951
6375.4253 -23141.156
6337.941 -23142.547
6300.03 -23142.428
6294.111 -23149.176
6293.31 -23154.863
6281.3413 -23146.781
6279.039 -23156.432
6283.4946 -23166.7
6292.74 -23175.148
6290.088 -23180.537
6288.3345 -23199.266
6284.6836 -23209.756
6286.714 -23211.518
6280.4497 -23205.248
6289.055 -23207.854
6298.7817 -23213.45
6292.959 -23207.773
6297.2056 -23191.086
6298.452 -23178.988
6298.4087 -23171.006
6297.237 -23169.02
6310.4263 -23182.807
6316.7026 -23191.027
6324.519 -23212.736
6337.0146 -23236.104
6353.573 -23252.016
6367.3677 -23254.586
6376.802 -23238.955
6387.4785 -23230.072
6393.683 -23219.977
6396.319 -23210.346
6395.933 -23202.336
6392.7637 -23195.164
6389.0303 -23189.363
6376.7666 -23190.94
6335.9126 -23197.17
6330.4414 -23188.174
6327.234 -23188.729
6326.784 -23178.73
6326.5503 -23168.908
6318.585 -23153.418
6326.5527 -23150.586
6331.508 -23157.006
6335.112 -23163.256
6341.6157 -23167.01
6346.037 -23165.074
6346.8857 -23161.059
6348.0312 -23159.072
6347.5425 -23159.832
6348.9214 -23186.877
6342.4272 -23205.877
6334.7686 -23239.762
6338.208 -23252.143
6338.23 -23243.352
6331.4604 -23239.553
6338.9277 -23239.564
6341.5923 -23228.56
6330.514 -23224.871
6324.306 -23220.305
6306.878 -23215.27
6289.5806 -23205.494
6276.6323 -23201.795
6277.9653 -23203.45
6281.1885 -23196.982
6283.895 -23199.713
6279.6484 -23194.01
6289.3 -23196.863
6301.724 -23205.617
6312.751 -23205.682
6318.107 -23196.352
6342.103 -23204.033
6350.9453 -23207.7
6353.701 -23220.953
6364.3154 -23220.604
6377.2866 -23226.479
6378.354 -23211.24
6371.757 -23195.625
6357.8096 -23170.201
6360.445 -23183.842
6359.056 -23198.234
6353.3486 -23217.049
6358.3022 -23222.654
