x y
10277.000000 -16865.000000
10078.000000 -17347.000000
9880.000000 -17829.000000
9582.000000 -18311.000000
9383.000000 -18672.000000
9234.000000 -18913.000000
9135.000000 -19034.000000
9185.000000 -18913.000000
9284.000000 -18672.000000
9383.000000 -18311.000000
9582.000000 -17829.000000
9880.000000 -17227.000000
10178.000000 -16624.000000
10476.000000 -16143.000000
10674.000000 -15540.000000
10922.000000 -15179.000000
11121.000000 -14938.000000
11220.000000 -14576.000000
11320.000000 -14456.000000
11369.000000 -14336.000000
11369.000000 -14336.000000
11369.000000 -14456.000000
11369.000000 -14817.000000
11270.000000 -15420.000000
11171.000000 -16022.000000
11121.000000 -16745.000000
11121.000000 -17227.000000
11171.000000 -17588.000000
11270.000000 -17829.000000
11369.000000 -17829.000000
11518.000000 -17829.000000
11766.000000 -17709.000000
12015.000000 -17468.000000
12312.000000 -17106.000000
12610.000000 -16624.000000
12859.000000 -16263.000000
13156.000000 -15661.000000
13355.000000 -15299.000000
13554.000000 -14817.000000
13653.000000 -14456.000000
13752.000000 -14215.000000
13802.000000 -14095.000000
13802.000000 -14095.000000
13852.000000 -13974.000000
9681.000000 -13010.000000
9681.000000 -12769.000000
9632.000000 -12649.000000
9582.000000 -12529.000000
9483.000000 -12288.000000
9433.000000 -12047.000000
9334.000000 -12047.000000
9135.000000 -11926.000000
8936.000000 -11926.000000
8639.000000 -12167.000000
8341.000000 -12529.000000
8092.000000 -13010.000000
7795.000000 -13492.000000
7596.000000 -14215.000000
7447.000000 -14817.000000
7397.000000 -15179.000000
7397.000000 -15540.000000
7546.000000 -15781.000000
7646.000000 -15902.000000
7894.000000 -15902.000000
8092.000000 -15781.000000
8390.000000 -15540.000000
8639.000000 -15179.000000
8936.000000 -14817.000000
9234.000000 -14456.000000
9383.000000 -14095.000000
9483.000000 -13854.000000
9632.000000 -13613.000000
9731.000000 -13492.000000
9731.000000 -13492.000000
9681.000000 -13613.000000
9582.000000 -13733.000000
9483.000000 -14215.000000
9185.000000 -14697.000000
8837.000000 -15420.000000
8390.000000 -16263.000000
8043.000000 -17227.000000
7695.000000 -17950.000000
7397.000000 -18552.000000
7149.000000 -19034.000000
7000.000000 -19275.000000
6851.000000 -19516.000000
6802.000000 -19516.000000
6802.000000 -19516.000000
6802.000000 -19395.000000
6851.000000 -19275.000000
7050.000000 -18913.000000
7298.000000 -18431.000000
7596.000000 -17950.000000
7993.000000 -17347.000000
8291.000000 -16745.000000
8688.000000 -16143.000000
9085.000000 -15540.000000
9433.000000 -15058.000000
9731.000000 -14697.000000
9979.000000 -14456.000000
10178.000000 -14215.000000
10227.000000 -14095.000000
10227.000000 -14095.000000
10277.000000 -14095.000000
10227.000000 -14215.000000
10178.000000 -14576.000000
10128.000000 -14938.000000
10029.000000 -15299.000000
9979.000000 -15661.000000
9979.000000 -15661.000000
9979.000000 -15661.000000
10029.000000 -15902.000000
10128.000000 -15902.000000
10327.000000 -15781.000000
10575.000000 -15540.000000
10823.000000 -15299.000000
11071.000000 -14938.000000
11270.000000 -14697.000000
11468.000000 -14336.000000
11617.000000 -14095.000000
11717.000000 -13974.000000
11717.000000 -13854.000000
11766.000000 -13974.000000
11667.000000 -14095.000000
11617.000000 -14215.000000
11568.000000 -14576.000000
11518.000000 -14817.000000
11518.000000 -14938.000000
11468.000000 -15179.000000
11568.000000 -15299.000000
11667.000000 -15299.000000
11766.000000 -15299.000000
11965.000000 -15058.000000
12213.000000 -14817.000000
12461.000000 -14456.000000
12759.000000 -14095.000000
13008.000000 -13733.000000
13305.000000 -13010.000000
13554.000000 -12408.000000
13802.000000 -11926.000000
13901.000000 -11565.000000
13951.000000 -11324.000000
14000.000000 -11203.000000
14000.000000 -11083.000000
13852.000000 -11083.000000
13653.000000 -11203.000000
13405.000000 -11565.000000
13107.000000 -12047.000000
12859.000000 -12529.000000
12610.000000 -13251.000000
12461.000000 -13733.000000
12362.000000 -14215.000000
12362.000000 -14456.000000
12362.000000 -14697.000000
12461.000000 -14697.000000
12660.000000 -14697.000000
12908.000000 -14576.000000
13256.000000 -14336.000000
13504.000000 -13974.000000
13852.000000 -13613.000000
14149.000000 -13251.000000
14348.000000 -12769.000000
14547.000000 -12408.000000
14646.000000 -12288.000000
14646.000000 -12167.000000
14547.000000 -12167.000000
14447.000000 -12288.000000
14199.000000 -12408.000000
14050.000000 -12649.000000
13802.000000 -12890.000000
13653.000000 -13251.000000
13554.000000 -13613.000000
13454.000000 -13854.000000
13355.000000 -14095.000000
13405.000000 -14095.000000
13554.000000 -14215.000000
13703.000000 -14095.000000
13951.000000 -14095.000000
14199.000000 -13854.000000
14447.000000 -13492.000000
14745.000000 -13251.000000
14993.000000 -12890.000000
15192.000000 -12649.000000
15391.000000 -12529.000000
15391.000000 -12529.000000
15540.000000 -12529.000000
15639.000000 -12408.000000
15639.000000 -12408.000000
15589.000000 -12529.000000
15490.000000 -12529.000000
15391.000000 -12769.000000
15242.000000 -13010.000000
15142.000000 -13372.000000
14993.000000 -13613.000000
14944.000000 -13613.000000
14894.000000 -13854.000000
14944.000000 -13974.000000
15093.000000 -13974.000000
15242.000000 -13854.000000
15490.000000 -13733.000000
15788.000000 -13492.000000
16036.000000 -13251.000000
16334.000000 -12890.000000
16632.000000 -12649.000000
16830.000000 -12408.000000
16979.000000 -12288.000000
16979.000000 -12288.000000
16979.000000 -12288.000000
17029.000000 -12047.000000
16930.000000 -12167.000000
16582.000000 -12408.000000
16185.000000 -12890.000000
15639.000000 -13372.000000
15093.000000 -13974.000000
14646.000000 -14456.000000
14249.000000 -14817.000000
14000.000000 -15058.000000
13852.000000 -15179.000000
13852.000000 -15299.000000
14000.000000 -15179.000000
14199.000000 -14817.000000
14596.000000 -14336.000000
14944.000000 -13974.000000
15291.000000 -13492.000000
15589.000000 -13010.000000
15788.000000 -12529.000000
15738.000000 -12047.000000
15589.000000 -11685.000000
15093.000000 -11324.000000
14348.000000 -11444.000000
13355.000000 -11685.000000
12263.000000 -12288.000000
10922.000000 -13010.000000
9632.000000 -13854.000000
8490.000000 -14697.000000
7596.000000 -15299.000000
7000.000000 -15661.000000
6752.000000 -16022.000000
6802.000000 -16143.000000
7100.000000 -16143.000000
7745.000000 -16022.000000
8589.000000 -15661.000000
9681.000000 -15299.000000
10823.000000 -14817.000000
11965.000000 -14336.000000
13008.000000 -13974.000000
13951.000000 -13613.000000
14596.000000 -13492.000000
15142.000000 -13492.000000
15589.000000 -13733.000000
15688.000000 -14095.000000
15688.000000 -14697.000000
15490.000000 -15420.000000
15192.000000 -16143.000000
14894.000000 -16745.000000
14646.000000 -17347.000000
14497.000000 -17588.000000
14298.000000 -17829.000000
14100.000000 -17950.000000
10476.000000 -11685.000000
10426.000000 -11685.000000
10327.000000 -11806.000000
10178.000000 -11926.000000
10128.000000 -12047.000000
10029.000000 -12047.000000
9979.000000 -12167.000000
10029.000000 -12167.000000
10178.000000 -11926.000000
10476.000000 -11685.000000
10823.000000 -11444.000000
11121.000000 -11203.000000
11468.000000 -11083.000000
11667.000000 -10842.000000
11866.000000 -10842.000000
12015.000000 -10842.000000
12263.000000 -10842.000000
12412.000000 -10962.000000
12561.000000 -11203.000000
14298.000000 -12408.000000
14447.000000 -12529.000000
14596.000000 -12649.000000
14696.000000 -12769.000000
14745.000000 -12890.000000
14745.000000 -13251.000000
14745.000000 -13733.000000
14646.000000 -14215.000000
