x y
6277.355 -17076.643
5420.262 -16932.027
5028.121 -16710.646
4952.319 -16602.408
4985.245 -16584.906
5030.259 -16624.258
5062.7905 -16700.156
5081.5527 -16799.414
5088.043 -16912.896
5083.911 -17032.232
5072.3813 -17147.762
5058.898 -17248.406
5050.6963 -17322.83
5055.6006 -17361.873
5080.175 -17361.678
5127.6123 -17325.916
5196.1143 -17265.357
5278.743 -17194.107
5365.3447 -17124.354
5445.8604 -17063.615
5513.1836 -17015.76
5564.2256 -16983.06
5599.3413 -16967.0
5621.038 -16968.014
5632.714 -16985.219
5637.746 -17016.56
5638.9883 -17059.229
5638.5957 -17110.154
5638.0435 -17166.408
5638.241 -17225.465
5639.673 -17285.355
5642.528 -17344.717
5646.824 -17402.793
5652.5254 -17459.324
5659.6426 -17514.4
5668.3574 -17568.186
5679.117 -17620.63
5692.6973 -17671.162
5710.186 -17718.564
5732.8506 -17761.13
5761.8965 -17797.129
5798.17 -17825.328
5841.858 -17845.334
5892.2324 -17857.576
5947.535 -17863.047
6005.1953 -17862.951
6062.444 -17858.469
6117.071 -17850.662
6167.8955 -17840.53
6214.796 -17829.154
6258.4443 -17817.902
6299.996 -17808.588
6340.83 -17803.576
6382.3623 -17805.652
6425.8823 -17817.463
6472.3945 -17840.398
6522.4336 -17873.28
6575.9224 -17911.809
6632.1475 -17949.668
6689.961 -17980.84
6748.125 -18001.592
6805.611 -18010.945
6861.739 -18009.912
6916.1694 -18000.43
6968.841 -17984.576
7019.901 -17964.178
7069.6343 -17940.72
7118.396 -17915.408
7166.5405 -17889.29
7214.385 -17863.383
7262.1973 -17838.74
7310.2036 -17816.41
7358.5684 -17797.26
7407.339 -17781.744
7456.3687 -17769.715
7505.27 -17760.436
7553.472 -17752.861
7600.363 -17746.018
7645.4546 -17739.209
7688.49 -17732.041
7729.4507 -17724.266
7768.505 -17715.72
7805.9434 -17706.293
7842.115 -17695.94
7877.3853 -17684.707
7912.1104 -17672.732
7946.616 -17660.217
7981.1895 -17647.406
8016.0757 -17634.555
8051.4736 -17621.908
8087.5425 -17609.684
8124.402 -17598.064
8162.1377 -17587.201
8200.81 -17577.193
8240.45 -17568.115
8281.077 -17560.002
8322.689 -17552.861
8365.28 -17546.674
8408.831 -17541.404
8453.32 -17537.0
8498.723 -17533.4
8545.017 -17530.537
8592.174 -17528.33
8640.178 -17526.71
8689.008 -17525.602
8738.652 -17524.932
8789.098 -17524.629
8840.337 -17524.63
8892.361 -17524.867
8945.164 -17525.28
8998.734 -17525.799
9053.057 -17526.357
9108.109 -17526.887
